Data di inizio;Data di fine;Tipo risposta;Avanzamento;Durata (in secondi);Terminato;Data registrata;ID di risposta;Canale di distribuzione;Lingua dell'utente;"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - Unforeseen events upset me greatly.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - It frustrates me not having all the information I need.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - Uncertainty keeps me from living a full life.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - One should always look ahead so as to avoid surprises.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - A small unforeseen event can spoil everything, even with the best of planning.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - When itü??s time to act, uncertainty paralyses me.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - Please, answer ""entirely characteristic of me"" to this item.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - When I am uncertain I canü??t function very well.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - I always want to know what the future has in store for me.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - I canü??t stand being taken by surprise.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - The smallest doubt can stop me from acting.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - I should be able to organize everything in advance.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - I must get away from all uncertain situations.";Please, type your age.;Please, select your gender.;Have you experienced any issues with the internet conncetion and/or the uploading of the pictures/sounds?;You have now successfully completed the survey, and you will be redirected to Prolific to complete your submission.If you have any comments please let us know by filling the box below.Thank you for your valuable contribution!;Total score;Prospective subscale;Inhibitory subscale;AttentionCheck;workerId;batchId;studyId;subject_nr;PROLIFIC_PID;SESSION_ID;STUDY_ID
20/07/2021 06:44;20/07/2021 06:45;Indirizzo IP;100;57;VERO;20/07/2021 06:45;R_3rUTntKfaaF3jxZ;anonymous;EN;A little characteristic of me;Very characteristic of me;Somewhat characteristic of me;Very characteristic of me;A little characteristic of me;Not at all characteristic of me;Entirely characteristic of me;A little characteristic of me;Very characteristic of me;A little characteristic of me;Not at all characteristic of me;Somewhat characteristic of me;Not at all characteristic of me;30;Male;No, everything worked fine!;;29;21;8;1;14808;507;496;24105;5e285183476bdb000a1a7986;60f6be4fd0d1ea04a9cb1fe7;60f57e67967f64a9e6d4f193
20/07/2021 05:07;20/07/2021 05:08;Indirizzo IP;100;90;VERO;20/07/2021 05:08;R_3EEc4Zu99kfOfi3;anonymous;EN;A little characteristic of me;A little characteristic of me;A little characteristic of me;A little characteristic of me;Not at all characteristic of me;A little characteristic of me;Entirely characteristic of me;A little characteristic of me;A little characteristic of me;Somewhat characteristic of me;Not at all characteristic of me;Not at all characteristic of me;A little characteristic of me;25;Female;No, everything worked fine!;;22;13;9;1;14668;507;496;23984;5e2d08e41f0add31f6221c2b;60f6a6deb771af8ef9ec12ad;60f57e67967f64a9e6d4f193
20/07/2021 05:00;20/07/2021 05:01;Indirizzo IP;100;57;VERO;20/07/2021 05:01;R_1jB2qWAwM5hOh9a;anonymous;EN;Entirely characteristic of me;Entirely characteristic of me;Very characteristic of me;Entirely characteristic of me;Very characteristic of me;Very characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;A little characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;24;Male;No, everything worked fine!;;49;30;19;1;14713;507;496;24029;5e2ef20b9e151c4b3e710fed;60f6a70d6031bd99d837e8b2;60f57e67967f64a9e6d4f193
20/07/2021 04:28;20/07/2021 04:35;Indirizzo IP;100;447;VERO;20/07/2021 04:35;R_3hzlEbf86HW0I70;anonymous;EN;A little characteristic of me;Somewhat characteristic of me;A little characteristic of me;Somewhat characteristic of me;A little characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Not at all characteristic of me;Somewhat characteristic of me;Very characteristic of me;A little characteristic of me;21;Female;No, everything worked fine!;"In this study, a set of tasks was presented to me, involving emotionally evocative material, such as images or sounds with negative content. In this sense, I never felt the need to interrupt the study, due to the fact that I felt uncomfortable, something that never happened. I confess that there were sounds a little disturbing.
In general, this study becomes important for learning the relationships between abstract symbols and emotional stimuli, that is, their main objective, ultimately fulfilling it.";31;18;13;1;14624;507;496;23940;5e3da2a0d53178012dfeeb7e;60f69d253d77dc9613eecc96;60f57e67967f64a9e6d4f193
20/07/2021 03:59;20/07/2021 04:01;Indirizzo IP;100;109;VERO;20/07/2021 04:01;R_3oBBKfTZIKgPKkN;anonymous;EN;A little characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Very characteristic of me;Somewhat characteristic of me;Not at all characteristic of me;Entirely characteristic of me;Very characteristic of me;Entirely characteristic of me;A little characteristic of me;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;34;Male;No, everything worked fine!;"Most of the sounds were unrealistic - ""movie-like"", that didn't feel real enough to me.";38;23;15;1;14545;507;496;23862;5e453876587c06000cec7587;60f6986f8962832a8c3953ab;60f57e67967f64a9e6d4f193
20/07/2021 04:20;20/07/2021 04:23;Indirizzo IP;100;128;VERO;20/07/2021 04:23;R_A6fxECJj8M9UCmR;anonymous;EN;Somewhat characteristic of me;Entirely characteristic of me;Very characteristic of me;Very characteristic of me;Entirely characteristic of me;Very characteristic of me;Entirely characteristic of me;Very characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Not at all characteristic of me;25;Female;No, everything worked fine!;;42;26;16;1;14578;507;496;23895;5e6800b21e7c82000b6d26f4;60f69c12fc1714ae94d09e04;60f57e67967f64a9e6d4f193
20/07/2021 06:40;20/07/2021 06:41;Indirizzo IP;100;62;VERO;20/07/2021 06:41;R_1rPs3FVZpaMtkGv;anonymous;EN;Somewhat characteristic of me;Very characteristic of me;A little characteristic of me;Very characteristic of me;Very characteristic of me;A little characteristic of me;Entirely characteristic of me;Not at all characteristic of me;Somewhat characteristic of me;A little characteristic of me;A little characteristic of me;Very characteristic of me;A little characteristic of me;23;Male;No, everything worked fine!;;33;24;9;1;14809;507;496;24106;5e68a655dfa1b714311fc76c;60f6be50947eaa8f2a5e0d76;60f57e67967f64a9e6d4f193
20/07/2021 04:58;20/07/2021 04:59;Indirizzo IP;100;53;VERO;20/07/2021 04:59;R_2xwRftyJnpHl04Y;anonymous;EN;Somewhat characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Very characteristic of me;Somewhat characteristic of me;Very characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;22;Female;No, everything worked fine!;;45;27;18;1;14699;507;496;24015;5e70c8ae4a860a0008edf420;60f6a6f6596644a33d095fb3;60f57e67967f64a9e6d4f193
20/07/2021 04:19;20/07/2021 04:20;Indirizzo IP;100;59;VERO;20/07/2021 04:20;R_3g6EAuK8VYnWaPM;anonymous;EN;A little characteristic of me;A little characteristic of me;A little characteristic of me;A little characteristic of me;A little characteristic of me;A little characteristic of me;A little characteristic of me;A little characteristic of me;A little characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;A little characteristic of me;Somewhat characteristic of me;21;Male;No, everything worked fine!;;NA;NA;NA;0;14575;507;496;23892;5e7fc2473c757f6a259e293c;60f69bddf17affd9e836a762;60f57e67967f64a9e6d4f193
20/07/2021 05:20;20/07/2021 05:22;Indirizzo IP;100;121;VERO;20/07/2021 05:22;R_1Ov0ZQvafOp3Cp0;anonymous;EN;Somewhat characteristic of me;Very characteristic of me;A little characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;A little characteristic of me;Entirely characteristic of me;A little characteristic of me;Somewhat characteristic of me;A little characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;A little characteristic of me;22;Female;No, everything worked fine!;;32;21;11;1;14781;507;496;24088;5e81cd3de28dab8c8a5e3dda;60f6a9b37bc7a76f778e9e95;60f57e67967f64a9e6d4f193
20/07/2021 04:20;20/07/2021 04:22;Indirizzo IP;100;89;VERO;20/07/2021 04:22;R_xz9M7mEbMbGR2dH;anonymous;EN;A little characteristic of me;A little characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;A little characteristic of me;Not at all characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Not at all characteristic of me;A little characteristic of me;Not at all characteristic of me;Not at all characteristic of me;A little characteristic of me;23;Female;No, everything worked fine!;;23;13;10;1;14616;507;496;23933;5e8c626158544f023c96a50e;60f69de18d9323ce7561dd0b;60f57e67967f64a9e6d4f193
19/07/2021 09:26;19/07/2021 09:28;Indirizzo IP;100;126;VERO;19/07/2021 09:28;R_1q4bX3MAS3eivV5;anonymous;EN;Somewhat characteristic of me;Somewhat characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;A little characteristic of me;Very characteristic of me;Somewhat characteristic of me;A little characteristic of me;Not at all characteristic of me;A little characteristic of me;Somewhat characteristic of me;A little characteristic of me;22;Female;No, everything worked fine!;;NA;NA;NA;0;14459;496;485;23760;5e8e492e91dc971030ea50e2;60f58c155bd735b93c0d49d3;60e45f9daf7eec3fac4de4e2
20/07/2021 05:11;20/07/2021 05:13;Indirizzo IP;100;107;VERO;20/07/2021 05:13;R_3KvUeSvrv2q52VD;anonymous;EN;Somewhat characteristic of me;Very characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;A little characteristic of me;Not at all characteristic of me;A little characteristic of me;Very characteristic of me;Somewhat characteristic of me;21;Female;No, everything worked fine!;;38;24;14;1;14750;507;496;24059;5e9dd5c7a311c013113137ba;60f6a6faf9be19a6a52e6ed8;60f57e67967f64a9e6d4f193
20/07/2021 05:01;20/07/2021 05:02;Indirizzo IP;100;84;VERO;20/07/2021 05:02;R_2zSfuEiy2HN8JrC;anonymous;EN;Somewhat characteristic of me;Very characteristic of me;A little characteristic of me;Very characteristic of me;Not at all characteristic of me;Not at all characteristic of me;Entirely characteristic of me;A little characteristic of me;A little characteristic of me;A little characteristic of me;Not at all characteristic of me;Somewhat characteristic of me;A little characteristic of me;32;Male;No, everything worked fine!;;27;19;8;1;14695;507;496;24011;5eaaec78a563dc0724c63b98;60f6a6f3559e50f6bb6150b8;60f57e67967f64a9e6d4f193
20/07/2021 04:26;20/07/2021 04:27;Indirizzo IP;100;103;VERO;20/07/2021 04:27;R_24uyOMEpylhkc3C;anonymous;EN;Somewhat characteristic of me;Very characteristic of me;A little characteristic of me;Very characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Very characteristic of me;Somewhat characteristic of me;A little characteristic of me;A little characteristic of me;Somewhat characteristic of me;A little characteristic of me;20;Male;No, everything worked fine!;;35;22;13;1;14606;507;496;23923;5eb1c693b7c2712f369d0d95;60f69d56d315519cd3c19d37;60f57e67967f64a9e6d4f193
20/07/2021 04:27;20/07/2021 04:30;Indirizzo IP;100;183;VERO;20/07/2021 04:30;R_25KkFZJXFF7ZSpB;anonymous;EN;Very characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;Entirely characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;58;Female;No, everything worked fine!;please put more yellow circles :);48;28;20;1;14627;507;496;23943;5eb1d6161161e61340421866;60f69ebdccc4ab57007659be;60f57e67967f64a9e6d4f193
20/07/2021 05:12;20/07/2021 05:14;Indirizzo IP;100;142;VERO;20/07/2021 05:14;R_1qfT2TBWJ3ZUsnw;anonymous;EN;Very characteristic of me;Very characteristic of me;Not at all characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Not at all characteristic of me;Entirely characteristic of me;A little characteristic of me;Very characteristic of me;Somewhat characteristic of me;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;26;Female;No, everything worked fine!;I don't have any questions ;36;25;11;1;14640;507;496;23956;5ebacfd02866ba04c73b14c7;60f6a6c0cba5d8bc0fbc57f8;60f57e67967f64a9e6d4f193
20/07/2021 05:01;20/07/2021 05:02;Indirizzo IP;100;99;VERO;20/07/2021 05:02;R_2AQpqDcQqgx2mxH;anonymous;EN;Not at all characteristic of me;A little characteristic of me;Not at all characteristic of me;Somewhat characteristic of me;A little characteristic of me;Not at all characteristic of me;Entirely characteristic of me;Not at all characteristic of me;Somewhat characteristic of me;Not at all characteristic of me;A little characteristic of me;Somewhat characteristic of me;Not at all characteristic of me;19;Male;No, everything worked fine!;;21;15;6;1;14661;507;496;23977;5ebc5813549f70077ad68d73;60f6a6d750fe7a9c244836ee;60f57e67967f64a9e6d4f193
20/07/2021 05:01;20/07/2021 05:02;Indirizzo IP;100;70;VERO;20/07/2021 05:02;R_6PgozvZ3QACLOMx;anonymous;EN;Very characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;Entirely characteristic of me;Very characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Very characteristic of me;29;Female;No, everything worked fine!;;44;25;19;1;14654;507;496;23970;5ec2b3de73c49c0b4dc6922c;60f6a6cc74216a2c8508ec75;60f57e67967f64a9e6d4f193
20/07/2021 04:21;20/07/2021 04:23;Indirizzo IP;100;123;VERO;20/07/2021 04:23;R_3nklP0oWtvj2zKI;anonymous;EN;Somewhat characteristic of me;Very characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;A little characteristic of me;A little characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;A little characteristic of me;39;Male;No, everything worked fine!;;34;20;14;1;14594;507;496;23911;5ec3a1a6e0ceef2078de1799;60f69d11aa5f9500c91d4bea;60f57e67967f64a9e6d4f193
20/07/2021 05:00;20/07/2021 05:01;Indirizzo IP;100;81;VERO;20/07/2021 05:01;R_2zTREYg24efccp4;anonymous;EN;Somewhat characteristic of me;Very characteristic of me;A little characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Very characteristic of me;Entirely characteristic of me;Very characteristic of me;Very characteristic of me;A little characteristic of me;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;18;Male;No, everything worked fine!;;40;23;17;1;14646;507;496;23962;5ecfa3e67fd043000aee9fb4;60f6a6c850fe7a9c244836e9;60f57e67967f64a9e6d4f193
20/07/2021 04:49;20/07/2021 04:55;Indirizzo IP;100;363;VERO;20/07/2021 04:55;R_3DvX33nRH7Qt4nH;anonymous;EN;Very characteristic of me;Very characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Very characteristic of me;Entirely characteristic of me;Very characteristic of me;Entirely characteristic of me;A little characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;42;Male;No, everything worked fine!;;47;24;23;1;14570;507;496;23887;5ed11a6ce227c802a109311c;60f69ba21b728e833ce65f49;60f57e67967f64a9e6d4f193
20/07/2021 05:22;20/07/2021 05:23;Indirizzo IP;100;74;VERO;20/07/2021 05:23;R_BRsW8XGHytsSpDH;anonymous;EN;Very characteristic of me;Entirely characteristic of me;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Very characteristic of me;Somewhat characteristic of me;A little characteristic of me;Somewhat characteristic of me;A little characteristic of me;25;Female;No, everything worked fine!;;40;26;14;1;14673;507;496;23989;5ed259838cd1b21bd2119ef0;60f6a6e15c46c5113b1cdafb;60f57e67967f64a9e6d4f193
20/07/2021 04:21;20/07/2021 04:23;Indirizzo IP;100;87;VERO;20/07/2021 04:23;R_zU2IKHrM5BC3XeV;anonymous;EN;Somewhat characteristic of me;Somewhat characteristic of me;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;A little characteristic of me;Entirely characteristic of me;Very characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Very characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;38;Female;No, everything worked fine!;;39;22;17;1;14540;507;496;23857;5edf9394395f862684578ea4;60f697cf9013303f8f401d64;60f57e67967f64a9e6d4f193
20/07/2021 05:02;20/07/2021 05:03;Indirizzo IP;100;54;VERO;20/07/2021 05:03;R_3fVJwo3ZIJykUij;anonymous;EN;A little characteristic of me;Somewhat characteristic of me;Not at all characteristic of me;A little characteristic of me;Somewhat characteristic of me;A little characteristic of me;Entirely characteristic of me;Very characteristic of me;Somewhat characteristic of me;Very characteristic of me;A little characteristic of me;Entirely characteristic of me;Very characteristic of me;21;Male;No, everything worked fine!;;35;22;13;1;14701;507;496;24017;5ee4b4715b6d9101d65ffc89;60f6a6f8cb4f1f0519aa2272;60f57e67967f64a9e6d4f193
20/07/2021 05:17;20/07/2021 05:19;Indirizzo IP;100;108;VERO;20/07/2021 05:19;R_AyrNgk1yfO5u7Hb;anonymous;EN;Somewhat characteristic of me;Very characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Very characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Very characteristic of me;Somewhat characteristic of me;Very characteristic of me;Somewhat characteristic of me;Very characteristic of me;28;Male;No, everything worked fine!;I want to participate in more studies;41;24;17;1;14772;507;496;24079;5ee6447c197e37397dabd845;60f6a7a852a7f5e1323ef6ca;60f57e67967f64a9e6d4f193
20/07/2021 06:01;20/07/2021 06:01;Indirizzo IP;100;37;VERO;20/07/2021 06:01;R_eyT9DjZXWWDuRXj;anonymous;EN;Very characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;Very characteristic of me;Entirely characteristic of me;Very characteristic of me;Somewhat characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;26;Male;No, everything worked fine!;;46;26;20;1;14655;507;496;23971;5ee69051cbcb070694442b70;60f6a6d022ff0e5496486e64;60f57e67967f64a9e6d4f193
20/07/2021 05:08;20/07/2021 05:16;Indirizzo IP;100;521;VERO;20/07/2021 05:16;R_2qyDfsXsJvH9FTy;anonymous;EN;A little characteristic of me;A little characteristic of me;Not at all characteristic of me;Somewhat characteristic of me;Very characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;A little characteristic of me;Somewhat characteristic of me;A little characteristic of me;A little characteristic of me;Somewhat characteristic of me;Not at all characteristic of me;21;Female;No, everything worked fine!;;28;19;9;1;14662;507;496;23978;5ee907fc12ef3f0f443d1d90;60f6a6d70183c01acf33955b;60f57e67967f64a9e6d4f193
20/07/2021 05:03;20/07/2021 05:05;Indirizzo IP;100;91;VERO;20/07/2021 05:05;R_bxUQBJDR5xisbCN;anonymous;EN;Somewhat characteristic of me;Very characteristic of me;Entirely characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;Entirely characteristic of me;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Very characteristic of me;Somewhat characteristic of me;28;Male;No, everything worked fine!;;47;26;21;1;14675;507;496;23991;5eeb8ccf11363a0c145d40c8;60f6a6e38b33c5b49fe95879;60f57e67967f64a9e6d4f193
20/07/2021 05:52;20/07/2021 05:59;Indirizzo IP;100;432;VERO;20/07/2021 05:59;R_3P6QTXXvvxFGUYx;anonymous;EN;Very characteristic of me;Somewhat characteristic of me;Very characteristic of me;Entirely characteristic of me;Not at all characteristic of me;A little characteristic of me;Entirely characteristic of me;Very characteristic of me;Entirely characteristic of me;Very characteristic of me;Somewhat characteristic of me;Very characteristic of me;Entirely characteristic of me;38;Female;No, everything worked fine!;I tried to understand what was the connection between the color and the feeling I'm going to get but with no success. In the end, I felt that I should be always alert. It was a somehow emotionally draining experience.;44;26;18;1;14784;507;496;24091;5eedb69308f7161ee954279d;60f6a6f7432e3d9488a0f78f;60f57e67967f64a9e6d4f193
20/07/2021 05:03;20/07/2021 05:04;Indirizzo IP;100;101;VERO;20/07/2021 05:04;R_2ysgFfYEcG1nZQb;anonymous;EN;Somewhat characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Very characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Very characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;A little characteristic of me;Very characteristic of me;Somewhat characteristic of me;30;Female;No, everything worked fine!;;38;23;15;1;14686;507;496;24002;5ef3c2c323120d16f3535e74;60f6a6e9b0cef2b1b9120147;60f57e67967f64a9e6d4f193
20/07/2021 05:05;20/07/2021 05:08;Indirizzo IP;100;145;VERO;20/07/2021 05:08;R_2OPjzmNTXl56ldy;anonymous;EN;A little characteristic of me;Somewhat characteristic of me;Not at all characteristic of me;Not at all characteristic of me;Very characteristic of me;Not at all characteristic of me;Entirely characteristic of me;A little characteristic of me;Not at all characteristic of me;A little characteristic of me;Not at all characteristic of me;Not at all characteristic of me;Not at all characteristic of me;22;Male;No, everything worked fine!;;20;14;6;1;14650;507;496;23966;5ef4e8877faaa00e59f23555;60f6a6cf43312fecb2d79056;60f57e67967f64a9e6d4f193
20/07/2021 05:02;20/07/2021 05:03;Indirizzo IP;100;68;VERO;20/07/2021 05:03;R_1LjmgNQyWiMLB5t;anonymous;EN;Somewhat characteristic of me;Very characteristic of me;A little characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;A little characteristic of me;Entirely characteristic of me;A little characteristic of me;Somewhat characteristic of me;Not at all characteristic of me;Somewhat characteristic of me;A little characteristic of me;Not at all characteristic of me;32;Female;No, everything worked fine!;;29;19;10;1;14688;507;496;24004;5ef7d536bd27420f7e9d768a;60f6a6da559e50f6bb6150b6;60f57e67967f64a9e6d4f193
20/07/2021 05:55;20/07/2021 05:57;Indirizzo IP;100;104;VERO;20/07/2021 05:57;R_3sZvzE59eTCh3Lb;anonymous;EN;Somewhat characteristic of me;Somewhat characteristic of me;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Very characteristic of me;Very characteristic of me;A little characteristic of me;Somewhat characteristic of me;Not at all characteristic of me;A little characteristic of me;19;Male;No, everything worked fine!;;36;20;16;1;14788;507;496;24095;5efb3af66ad15505ab305718;60f6b3d39d09c9eb6bde5230;60f57e67967f64a9e6d4f193
20/07/2021 05:07;20/07/2021 05:09;Indirizzo IP;100;135;VERO;20/07/2021 05:09;R_bPbTOIQZdqtZ3B7;anonymous;EN;Somewhat characteristic of me;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;A little characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;A little characteristic of me;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;19;Female;No, everything worked fine!;;42;21;21;1;14767;507;496;24074;5efd8bbe8f20d51cd2ab9327;60f6a7ceeb746be6f9fbe546;60f57e67967f64a9e6d4f193
20/07/2021 05:06;20/07/2021 05:08;Indirizzo IP;100;133;VERO;20/07/2021 05:08;R_1gCTqmJiA4WOI3w;anonymous;EN;A little characteristic of me;Somewhat characteristic of me;A little characteristic of me;Not at all characteristic of me;Very characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Very characteristic of me;A little characteristic of me;Somewhat characteristic of me;Very characteristic of me;A little characteristic of me;Somewhat characteristic of me;36;Male;No, everything worked fine!;;33;17;16;1;14704;507;496;24020;5efdf8ccefaeac0a69c051f3;60f6a6ff6a29bfb1b5a778d9;60f57e67967f64a9e6d4f193
20/07/2021 05:02;20/07/2021 05:03;Indirizzo IP;100;96;VERO;20/07/2021 05:03;R_6PAgRpf5wV2WGgV;anonymous;EN;Very characteristic of me;Entirely characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;A little characteristic of me;Entirely characteristic of me;Very characteristic of me;Very characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Very characteristic of me;Very characteristic of me;22;Male;Yes, in less than 25% of the trials;;47;30;17;1;14634;507;496;23950;5efe595eced436365993926b;60f6a6b57c2810d49c6a684f;60f57e67967f64a9e6d4f193
19/07/2021 09:16;19/07/2021 09:17;Indirizzo IP;100;88;VERO;19/07/2021 09:17;R_9nu2HvbHzwS7vzj;anonymous;EN;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;A little characteristic of me;Entirely characteristic of me;Very characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Very characteristic of me;Not at all characteristic of me;Somewhat characteristic of me;Very characteristic of me;Somewhat characteristic of me;19;Male;No, everything worked fine!;;40;24;16;1;14467;496;485;23767;5f0f5a88a751ba0f5f47fe31;60f58ecfed0109247128b049;60e45f9daf7eec3fac4de4e2
20/07/2021 03:21;20/07/2021 03:22;Indirizzo IP;100;91;VERO;20/07/2021 03:22;R_31YEg2Q5lIidSQC;anonymous;EN;A little characteristic of me;Somewhat characteristic of me;Not at all characteristic of me;A little characteristic of me;Very characteristic of me;A little characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Very characteristic of me;A little characteristic of me;Somewhat characteristic of me;Not at all characteristic of me;A little characteristic of me;18;Female;No, everything worked fine!;;29;18;11;1;14525;507;496;23842;5f105271a8af7c163ce00e14;60f68f2c95fbd46654aa07f4;60f57e67967f64a9e6d4f193
20/07/2021 04:29;20/07/2021 04:31;Indirizzo IP;100;106;VERO;20/07/2021 04:31;R_RQQPkwQ6EzhJIPv;anonymous;EN;A little characteristic of me;Not at all characteristic of me;A little characteristic of me;Entirely characteristic of me;Very characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Very characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Very characteristic of me;Entirely characteristic of me;Entirely characteristic of me;21;Female;No, everything worked fine!;;47;27;20;1;14628;507;496;23944;5f1191e8b8e92c0129a26f96;60f69ec37e5c18e5480c5b72;60f57e67967f64a9e6d4f193
20/07/2021 10:39;20/07/2021 10:42;Indirizzo IP;100;134;VERO;20/07/2021 10:42;R_2rqLv8IvbjWbCDy;anonymous;EN;Somewhat characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;Entirely characteristic of me;Entirely characteristic of me;30;Female;Yes, between 25% and 50% of the trials;;47;25;22;1;14874;507;496;24162;5f12a991e2e0972180741774;60f6f5318de80dc800b808c0;60f57e67967f64a9e6d4f193
20/07/2021 03:26;20/07/2021 03:28;Indirizzo IP;100;134;VERO;20/07/2021 03:28;R_27lEv4r4XyHdROV;anonymous;EN;A little characteristic of me;A little characteristic of me;Not at all characteristic of me;Somewhat characteristic of me;Not at all characteristic of me;Not at all characteristic of me;Entirely characteristic of me;Not at all characteristic of me;Not at all characteristic of me;Not at all characteristic of me;Not at all characteristic of me;A little characteristic of me;Not at all characteristic of me;22;Female;No, everything worked fine!;;17;12;5;1;14527;507;496;23844;5f1559cf6daab40120b1634e;60f6908203455d5c0af7cd99;60f57e67967f64a9e6d4f193
